titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Toponimia;Jonathan ,Perel;"";2015;"";"";DM;82 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150372;"<p>Se denomina toponimia a aquella disciplina que se ocupa de estudiar el origen etimol&oacute;gico de los nombres de los lugares. El conjunto que Perel toma para analizar visualmente en su film es una serie de pueblos del oeste tucumano, fundados por el gobierno militar a mediados de los setenta en el marco del Operativo Independencia, proyecto que pretend&iacute;a eliminar a la guerrilla (principalmente del ERP) que operaba en esa zona. Justamente, los nombres elegidos para esos pueblos provinieron de militares de distinto rango muertos en enfrentamientos con la guerrilla. Con una m&iacute;nima presentaci&oacute;n hist&oacute;rica, limitada al repaso de los documentos oficiales, Perel se aboca al registro de la actualidad de los pueblos y apela a una est&eacute;tica tan austera como rigurosa: planos fijos de quince segundos. De esa manera, muestra c&oacute;mo el tiempo erosion&oacute; ese intento de imposici&oacute;n sem&aacute;ntica hist&oacute;rica, as&iacute; como la naturaleza y el olvido siguen borrando las huellas de la utop&iacute;a que una vez all&iacute; se intent&oacute;. Rodrigo Ar&aacute;oz</p>";"";Pelicula
Tras la pantalla;Marcos, Martínez;"";2015;"";"";DCP;64 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150375;"<p>&ldquo;Me siento cansado de toda esta lucha diaria que no le hace bien a mi salud&rdquo;, escribi&oacute; el distribuidor cinematogr&aacute;fico Pascual Condito cuando, hace dos a&ntilde;os, anunci&oacute; que se retiraba del mercado. Marcos Mart&iacute;nez registra su reinvenci&oacute;n y lo muestra como un furioso Quijote que lucha contra Hollywood y las grandes compa&ntilde;&iacute;as que, seg&uacute;n &eacute;l, &ldquo;han cometido una verdadera masacre&rdquo;. Condito &ndash;quien alguna vez se tatu&oacute; una escena de Cinema Paradiso en el brazo y ha hecho cameos en m&aacute;s de sesenta producciones nacionales&ndash; es un recolector de recuerdos y objetos del pasado y un defensor de lo que &eacute;l considera buen cine en tiempos de blockbusters exterminadores. Es tambi&eacute;n un fantasma en medio de una industria y una ciudad que han cambiado. Tras la pantalla es la cr&oacute;nica de su autoexilio de esa naci&oacute;n que llamamos cine y, al mismo tiempo, una mirada a la crisis del panorama local; una que ofrece puntos de vista y soluciones que surgen de las conversaciones que Condito mantiene con amigos como Ra&uacute;l Perrone, Lisandro Alonso y Fernando Mart&iacute;n Pe&ntilde;a. Un documental melanc&oacute;lico y necesario. Andr&eacute;s Nazarala R.</p>";<p>Pascual Condito</p>;Pelicula
Un aplauso al que vive;Florencia Inés ,González ;"";2015;"";"";DM;68 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150378;"<p>Pareciera no existir ning&uacute;n tab&uacute; para el pastor evangelista Diego Gebel y sus shows-misas de m&aacute;s de tres horas. El baile, la m&uacute;sica, la revista, los travestis, las lentejuelas, el stand up o Pocho la Pantera; para Gebel, oficiante de esas agitadas bacanales, todo puede transformarse en un instrumento apto para difundir la palabra de Dios y aliviar el alma de las personas. La quinta pel&iacute;cula de Florencia In&eacute;s Gonz&aacute;lez revela un extra&ntilde;o ritual en el que el grotesco y el pastiche funcionan como prendas de una autenticidad irreprochable: Gebel podr&aacute; ser un enviado divino o solamente otro charlat&aacute;n de feria, pero los testimonios de sus fieles revelan una felicidad tangible. Las im&aacute;genes retratan una singular fe hecha de devoci&oacute;n, espiritualidad y cumbia a todo volumen. La pel&iacute;cula avanza y la figura del pastor adquiere proporciones impensadas; en el &eacute;xtasis final al que se entregan los feligreses, mientras bailan, giran sobre su eje y se desploman en el suelo, puede verse a un Gebel que observa satisfecho desde arriba del escenario, casi seguro de haber cumplido su misi&oacute;n en la Tierra. Diego Mat&eacute;</p>";<p>Diego Gebel, Hugo Ponzo,&nbsp,Gladys D&iacute,az, Norma Campos, Horacio Rodr&iacute,guez</p>;Pelicula
Uncertain Terms;Nathan ,Silver;"";2014;"";"";DM;71 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150380;"<p>Robbie, un hombre con problemas de pareja, va a pasar una temporada a lo de su t&iacute;a. Pero &ldquo;lo de su t&iacute;a&rdquo; es una casa-refugio para adolescentes embarazadas. Robbie arregla cosas en la casa, oficia de handyman y causa revuelo entre la poblaci&oacute;n del refugio. Habr&aacute; un tri&aacute;ngulo amoroso y una serie de consejos y ejercicios para este peque&ntilde;o ej&eacute;rcito de embarazadas. Y habr&aacute; otra comedia agridulce &ndash;un poco amarga&ndash; de Nathan Silver (Exit Elena, Soft in the Head, ambas en Bafici 2013), de esas de historias peque&ntilde;as y hasta fr&aacute;giles que se robustecen con di&aacute;logos, puesta en escena clara y velocidad para la neurosis y para producir genuinas pel&iacute;culas independientes. Como ocurr&iacute;a en Exit Elena, la presencia como actriz de Cindy Silver, madre del director, es un punto clave para el humor y la franqueza del film. La exhibici&oacute;n de Uncertain Terms y Stinking Heaven, la m&aacute;s flamante pel&iacute;cula del prol&iacute;fico Silver, muestra a un cineasta que sigue apostando a un cine cargado de personajes ambiguos e inestables, criaturas de un director cada vez m&aacute;s seguro de sus herramientas. Javier Porta Fouz</p>";<p>India Menuez, David Dahlbom, Cindy Silver, Hannah Gross, Tallie Medel</p>;Pelicula
Infumables;Milton Ekman;Milton Ekman;2014;Castellano;Argentina;HDCAM;4  min;si;Milton Ekman;No;"";"";"";Cortometraje
Extremos;Federico Molentino y Juan Manuel Ferraro;Viviana De Rosa;2014;Español;Argentina;DCP(24fps);27 min;si;Primerísimo Primer Plano;"";"";"";"";Cortometraje
95 - Episodio 1;Milton Ekman;Milton Ekman;2014;Castellano;Argentina;HDCAM;8  min;si;Milton Ekman;No;"";"";"";Cortometraje
Under Electric Clouds;Aleksei ,German Jr.;"";2015;"";"";DCP;137 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150381;"<p>Rusia, 2017, cien a&ntilde;os despu&eacute;s de la Revoluci&oacute;n. A trav&eacute;s de historias encadenadas, con el denominador com&uacute;n de un edificio que se erige en s&iacute;mbolo de los restos del naufragio, Aleksei German Jr. firma una pel&iacute;cula tan exigente como fascinante. Haciendo gala de un majestuoso poder&iacute;o visual (premiado con toda justicia en la pasada Berlinale), la c&aacute;mara se desliza entre las ruinas materiales y culturales de Rusia/la URSS/Europa/el mundo, escrutadas mediante una &oacute;ptica descre&iacute;da y una estructura narrativa lib&eacute;rrima que puede hacer pensar en la feliz heterodoxia que une a cineastas como Berlanga, Angelopoulos, Bu&ntilde;uel o Iosseliani. Como en varios films de estos maestros, se procede al retrato esc&eacute;ptico, no exento de humor, de un mundo en el que no tiene sentido dejar nada (si es que alguna vez se lo tuvo), donde las cosas ya no parecen resultar trascendentes, y donde presente, pasado, ficci&oacute;n y realidad conviven en un mismo plano, inextricables, mientras alimentan sin cesar nuestra incertidumbre ante el futuro. Alejandro D&iacute;az Casta&ntilde;o</p>";<p>Louis Franck, Merab Ninidze, Chulpan Khamatova, Anastasia Melnikova, Ramil Salahutdinov</p>;Pelicula
Vergine giurata;Laura ,Bispuri;"";2015;"";"";DCP;90 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150385;"<p>En una regi&oacute;n monta&ntilde;osa de Albania en la que las mujeres no tienen derecho alguno, es una opci&oacute;n ocultar la feminidad, hacer la promesa de permanecer virgen toda la vida &ndash;de ah&iacute; el t&iacute;tulo de la pel&iacute;cula&ndash; y adoptar el aspecto de un var&oacute;n. As&iacute;, esas v&iacute;rgenes pueden asumir &ldquo;roles masculinos&rdquo;, tipificados por esta sociedad tradicional, como trabajar fuera de la casa. La &oacute;pera prima de Laura Bispuri cuenta la historia de Hana/Mark (Alba Rohrwacher), su viaje, sus dudas, sus descubrimientos. Sin necesidad de ponerse declamatoria, Vergine giurata exhibe con claridad las diferencias que puede haber en el continente europeo, a una frontera de distancia, y describe con contundencia ritos y costumbres, tanto los llamativos como los brutales. Y, sobre todo, tiene la empat&iacute;a y la sensibilidad necesarias para centrar el relato del presente en la construcci&oacute;n de relaciones, para mostrar cinematogr&aacute;ficamente la confianza (es fundamental el personaje de la adolescente y sus pr&aacute;cticas de nataci&oacute;n), para contar la salida de un encierro insostenible. Javier Porta Fouz</p>";<p>Alba Rohrwacher, Flonja Kodheli, Lars Eidinger</p>;Pelicula
Vergüenza y respeto;Tomás,Lipgot;"";2015;"";"";DM;80 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150386;"<p>Ser gitano no es f&aacute;cil. &ldquo;Es m&aacute;s f&aacute;cil decirlo que serlo&rdquo;, dice uno de los protagonistas de Verg&uuml;enza y respeto. Ser gitano no es f&aacute;cil, y para un payo (es decir, para un no gitano) tampoco es f&aacute;cil entender qu&eacute; es lo que eso implica; el prejuicio, ya se sabe, nunca permite ver con claridad. A contramano de esos prejuicios es que se construye Verg&uuml;enza y respeto, un sobrio documental que se detiene a observar (nunca a juzgar) la cotidianeidad de una familia gitana del conurbano bonaerense. Los Campos abren las puertas de su hogar (esas que, como dicen una y otra vez, conforman una clara frontera entre el adentro y el afuera), y con ellas tambi&eacute;n las de una tradici&oacute;n milenaria, obligada hoy a acoplarse al mundo contempor&aacute;neo. Una cosa est&aacute; clara: ser gitano es, hoy y siempre, ser el portador de un universo complejo, de una identidad que encuentra en la familia su unidad y su fuerza, en la honra su br&uacute;jula, y en la m&uacute;sica su coraz&oacute;n. Tanto que, atravesado por cantes, guitarras, palmas y cajones flamencos, Verg&uuml;enza y respeto se convierte en un musical encubierto. Griselda Soriano</p>";<p>Jos&eacute, &ldquo,Pirri&rdquo, Campos, Juan Manuel Campos, Joel Campos</p>;Pelicula
La vida de alguien;Ezequiel ,Acuñaar;"";2014;"";"";DCP;92 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150234;"<p>En el cine de Ezequiel Acu&ntilde;a, la m&uacute;sica tiene un lugar protag&oacute;nico (igual que la amistad y los amores j&oacute;venes, los sentimientos dif&iacute;ciles de poner en palabras, las ausencias que duelen y las playas fuera de temporada), tanto que siempre intuimos como cuesti&oacute;n de tiempo que hiciese una pel&iacute;cula sobre una banda de rock. La vida de alguien, inspirada por los uruguayos de La Foca y filmada en, a estas alturas, nost&aacute;lgicos 35mm, es esa pel&iacute;cula: una biograf&iacute;a imaginaria que cuenta el origen de la banda, la creaci&oacute;n de un disco y la desaparici&oacute;n de uno de sus integrantes. Y lo cuenta con esa mezcla tan suya de melancol&iacute;a y humor amable &ndash;una suerte de spleen de Buenos Aires que aqu&iacute; vuelve a ser, como en Nadar solo, tambi&eacute;n de Mar del Plata&ndash;, pero sobre todo lo cuenta a trav&eacute;s de preciosas canciones que son, antes que videoclips, secuencias de acci&oacute;n. La vida de alguien es adem&aacute;s otra pel&iacute;cula: un compilado de los tres films previos de Acu&ntilde;a; un &ldquo;grandes &eacute;xitos&rdquo; que incluye casi entera a su entra&ntilde;able pandilla de actores, encabezada por Santiago Pedrero, junto a la voz invitada de la luminosa Ail&iacute;n Salas. Cat&aacute;logo 29&ordm; Festival de Mar del Plata</p>";<p>Santiago Pedrero,&nbsp,Ail&iacute,n Salas, Mat&iacute,as Castelli, Juli&aacute,n Larquier Tellarini, Juli&aacute,n Kartun</p>;Pelicula
La vida después;Pablo,Bardauil ;"";2015;"";"";DCP;78 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150235;"<p>Al igual que el break-up album, la pel&iacute;cula de separaci&oacute;n ya es un g&eacute;nero en s&iacute; misma. &iquest;C&oacute;mo se vive una vez que los loops diarios se quiebran para siempre? En este caso, en la segunda pel&iacute;cula de Franco Verdoia y Pablo Bardauil (quienes hab&iacute;an debutado en el 2006 con el film coral Chile 672), el final es lo primero que conocemos, y las consecuencias est&aacute;n tratadas con una gran exquisitez estructural que sigue a cada una de las mitades en pugna a lo largo de porciones id&eacute;nticas y con planos largos y cuidadosos, por momentos inc&oacute;modos. Apuntalada por las actuaciones precisas y contenidas de Carlos Belloso y Mar&iacute;a Onetto, que oscilan entre la desesperaci&oacute;n y la resignaci&oacute;n, La vida despu&eacute;s logra insertarse de manera novedosa y elegante en esa tradici&oacute;n que habla acerca de qu&eacute; es lo que pasa cuando el amor se termina aunque no queramos, y de los &uacute;ltimos gestos pat&eacute;ticos y fantasmales destinados hacia algo que no retornar&aacute; jam&aacute;s. Amadeo Gandolfo</p>";<p>Mar&iacute,a Onetto, Carlos Belloso, Rafael Ferro, Esteban Meloni, Sandra Villani</p>;Pelicula
Corn Fever;Milton Ekman;Milton Ekman;2014;Castellano;Argentina;HDCAM;5  min;si;Milton Ekman;No;"";"";"";Cortometraje
No Pasa Nada;Milton Ekman;Milton Ekman;2014;Castellano;Argentina;HDCAM;15 min;si;Milton Ekman;No;"";"";"";Cortometraje
La vida después;Franco,Verdoia;"";2015;"";"";DCP;78 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150235;"<p>Al igual que el break-up album, la pel&iacute;cula de separaci&oacute;n ya es un g&eacute;nero en s&iacute; misma. &iquest;C&oacute;mo se vive una vez que los loops diarios se quiebran para siempre? En este caso, en la segunda pel&iacute;cula de Franco Verdoia y Pablo Bardauil (quienes hab&iacute;an debutado en el 2006 con el film coral Chile 672), el final es lo primero que conocemos, y las consecuencias est&aacute;n tratadas con una gran exquisitez estructural que sigue a cada una de las mitades en pugna a lo largo de porciones id&eacute;nticas y con planos largos y cuidadosos, por momentos inc&oacute;modos. Apuntalada por las actuaciones precisas y contenidas de Carlos Belloso y Mar&iacute;a Onetto, que oscilan entre la desesperaci&oacute;n y la resignaci&oacute;n, La vida despu&eacute;s logra insertarse de manera novedosa y elegante en esa tradici&oacute;n que habla acerca de qu&eacute; es lo que pasa cuando el amor se termina aunque no queramos, y de los &uacute;ltimos gestos pat&eacute;ticos y fantasmales destinados hacia algo que no retornar&aacute; jam&aacute;s. Amadeo Gandolfo</p>";<p>Mar&iacute,a Onetto, Carlos Belloso, Rafael Ferro, Esteban Meloni, Sandra Villani</p>;Pelicula
La voz en off;Cristián ,Jiménez;"";2014;"";"";DCP;98 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150236;"<p>Dos hermanas que se obsesionan con descifrar los misterios que rodean a su padre. Rumores. Cosas que se dicen. Historias que se cuentan y otras que resuenan en una peque&ntilde;a ciudad donde todos los habitantes se conocen. Encuentros, desavenencias. Cristi&aacute;n Jim&eacute;nez (Ilusiones &oacute;pticas, Bons&aacute;i) teje una din&aacute;mica tragicomedia familiar que habla de incomunicaciones y verdades enfrentadas. Y sit&uacute;a a la confundida Sof&iacute;a (Ingrid Insensee) en medio del caos. Reci&eacute;n separada, ella debe lidiar con la crisis conyugal de sus padres mientras es invadida por historias que la llevan a buscar una verdad ordenadora, una voz en off &uacute;nica y omnisciente. El cineasta chileno &ndash;uno de los m&aacute;s destacados de su generaci&oacute;n&ndash; reflexiona nuevamente sobre las formas de contar un relato, y lo hace desde una Valdivia que es la protagonista real de sus pel&iacute;culas. En sinton&iacute;a con lo que parece ser una marca propia de la cinematograf&iacute;a del pa&iacute;s vecino, somete adem&aacute;s lo cotidiano a un proceso de extra&ntilde;amiento repleto de nostalgia, absurdos y peque&ntilde;as epifan&iacute;as. Andr&eacute;s Nazarala R.</p>";<p>Ingrid Isensee, Mar&iacute,a Siebald, Paulina Garc&iacute,a, Niels Schneider,&nbsp,Cristi&aacute,n Campos</p>;Pelicula
Walsh entre todos;Carmen ,Guarini;"";2015;"";"";DM;75 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150153;"<p>En uno de los intert&iacute;tulos de Walsh entre todos, el artista pl&aacute;stico Jorge Gonz&aacute;lez Perr&iacute;n cuenta que durante muchos a&ntilde;os sent&iacute;a la necesidad de honrar la memoria de los compa&ntilde;eros asesinados y desaparecidos durante la dictadura militar en Argentina, pero que a partir del juicio a sus responsables fue que se le ocurri&oacute; la manera de llevarlo a cabo. As&iacute;, en 2010, acompa&ntilde;ado de familiares y amigos, convoc&oacute; la participaci&oacute;n de artistas y estudiantes de arte para concretar aquello que en principio era una cuesti&oacute;n personal y luego se convirti&oacute; en una experiencia colectiva. La propuesta consisti&oacute; en realizar una serie de im&aacute;genes que reprodujeran los rostros de los desaparecidos, pero plasmados con una briosa vitalidad otorgada por la utilizaci&oacute;n de colores radiantes, tanto en peque&ntilde;as pancartas como en impresionantes cuadros de gran dimensi&oacute;n (entre ellos, un hermoso mural de Rodolfo Walsh). Este es el registro de esa empresa, llamada Arte-Memoria Colectivo, en la que las etiquetas sobre qu&eacute; es arte y qu&eacute; no quedan en segundo plano para acentuar un compromiso activo y tratar de aquietar &ndash;con felicidad y talento&ndash; tantos a&ntilde;os de violencia.</p>";<p>Jorge Gonz&aacute,lez Perr&iacute,n, Arte-Memoria Colectivo</p>;Pelicula
Apnea;Manuela,Martelli;"";2014;"";"";DM;7 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150119;"<p>El ba&ntilde;o de una casa es el espacio en el que Martelli ubica a sus personajes: Claire, una nena de seis a&ntilde;os, y Mar&iacute;a, su ni&ntilde;era ecuatoriana. Con una muy precisa direcci&oacute;n de actores y casi sin necesidad de di&aacute;logos, la acci&oacute;n se centra en el ritual del ba&ntilde;o, mientras las protagonistas esperan la llegada de la madre de Claire. La directora posa la mirada en una serie de detalles que terminan por construir una escena de gran intimidad y, sin mayores argumentos que los de esa relaci&oacute;n y la noticia de la postergaci&oacute;n de la llegada de la madre, logra provocar una tensi&oacute;n dram&aacute;tica muy sugestiva. Violeta Bava</p>";<p>Rebeca Sandler, Ximena Mielles</p>;Pelicula
False Twins;Sandro ,Aguilar;"";2014;"";"";DCP;21 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150135;"<p>El nuevo cortometraje de Sandro Aguilar completa un fascinante d&iacute;ptico con el precedente Jewels (visto en el Bafici pasado) y, como aquel, nos apela a usar la raz&oacute;n y la imaginaci&oacute;n para huir de la comodidad en la que se ha instalado el espectador contempor&aacute;neo. Sobre im&aacute;genes &ndash;asombrosas, como siempre&ndash; de monos enjaulados, bichos en formol y un planetario se escuchan textos sobre los primeros habitantes del planeta, las reglas de un videojuego de naves espaciales o las instrucciones de un manual de reanimaci&oacute;n cardiopulmonar. Y la elecci&oacute;n, que no queden dudas, no es caprichosa. Martin Pawley</p>";"";Pelicula
Haze;Chloe ,Domont;"";2014;"";"";DM;12 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150201;"<p>Chico se despierta en cama de chica, feliz despu&eacute;s de una noche de fiesta que termin&oacute; bien. Ella, que se despierta enseguida, no parece compartir ni su felicidad ni la idea de que la noche haya terminado bien. Es m&aacute;s: no se acuerda de nada. La incomodidad escala hasta que ella lo echa y &eacute;l se va a medio vestir. &iquest;Fin? No, porque el muchacho tiene de bienintencionado lo que tiene de insistente, y pega la vuelta para quedarse con la &uacute;ltima palabra: va a conseguir mucho m&aacute;s que eso. Como en Joyful Girl, Domont demuestra que un pu&ntilde;ado de minutos le alcanzan para tomar instant&aacute;neas tan precisas como intensas de las pasiones, las neurosis y las histerias de la juventud. Agust&iacute;n Masaedo</p>";<p>Casey Drogin, Hannah Gross</p>;Pelicula
Weddell blizzard;Ignacio Masllorens;Ignacio Masllorens;2014;Español;Argentina;Archivo digital ProRes LT;5m min;no;El Rayo Verde;"";"";"";"";Cortometraje
Desde el balde;Juane Otegui, Fede Gall, Luis Farina;Juane Otegui;2014;Español;Argentina;FULL HD;13 min;no;Sarte Voló Producciones;Mención del jurado mejor edición cortometraje documental / Premio del público mejor cortometraje documental;"";"";"";Cortometraje
Tierra en movimiento;Tiziana ,Panizza;"";2014;"";"";DCP;35 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150362;"<p>El terremoto que sacudi&oacute; a Chile en 2010 no solo dej&oacute; muertos. La tierra al moverse destruye, pero tambi&eacute;n descubre la verdadera naturaleza de algunas cosas. Un edificio que representa el estilo de vida feliz y moderno se vuelve el s&iacute;mbolo del oportunismo y la avaricia; la ropa sec&aacute;ndose al sol en banderas de rendici&oacute;n de un pueblo que cada 15 a&ntilde;os es bombardeado. La exhibici&oacute;n de las entra&ntilde;as de las construcciones llega a niveles de obscenidad: es un testimonio con signos imborrables que no muchos supieron ver. Tierra en movimiento es una pel&iacute;cula curiosa y sensible que acompa&ntilde;a la b&uacute;squeda de familiares, de un gentilicio para quien vive sobre esas tierras inquietas y se pregunta cu&aacute;ndo tendr&aacute; lugar el pr&oacute;ximo movimiento. Leandro Listorti</p>";"";Pelicula
O velho do restelo;Manoel ,De Oliveira;"";2014;"";"";DCP;20 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150205;"<p>Camino a cumplir 107 a&ntilde;os, el &uacute;nico director de la historia cuya carrera va del cine mudo al digital re&uacute;ne en un banco de plaza a cuatro espectros. El poeta Lu&iacute;z Vaz de Cam&otilde;es, los novelistas Camilo Castelo Branco y Teixeira de Pascoaes (en cuya novela El penitente se inspira este cortometraje salpicado con fragmentos de otros films del maestro portugu&eacute;s) y el Don Quijote cervantino hablan de glorias y derrotas pasadas, del vac&iacute;o y de la alienaci&oacute;n, de la incertidumbre del futuro, d&aacute;ndole forma a una reflexi&oacute;n de luminoso pesimismo &ndash;por supuesto que eso existe, si hasta tiene un adjetivo: oliveiriano&ndash; acerca de la humanidad. Augusto Madero</p>";<p>Diogo D&oacute,ria, Lu&iacute,s Miguel Cintra, M&aacute,rio Barroso, Ricardo Tr&ecirc,pa</p>;Pelicula
Undertone Overture;Jodie ,Mack;"";2013;"";"";16mm;11 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
New Fancy Foils;Jodie ,Mack;"";2013;"";"";16mm;13 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Dusty Stacks of Mom:  The Poster Project;Jodie ,Mack;"";2013;"";"";16mm;41 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Glistening Thrills;Jodie ,Mack;"";2013;"";"";16mm;8 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Let Your Light Shine;Jodie ,Mack;"";2013;"";"";16mm;3 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Harlequin and Lace;Jodie ,Mack;"";2009;"";"";16mm;5 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Poshaste Perennial Pattern;Jodie ,Mack;"";2010;"";"";16mm;4 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Rad Plaid;Jodie ,Mack;"";2010;"";"";16mm;6 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Point de Gaze;Jodie ,Mack;"";2012;"";"";16mm;5 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Persian Pickles;Jodie ,Mack;"";2012;"";"";16mm;3 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Blanket Statement #1: Home Is Where the Heart Is;Jodie ,Mack;"";2012;"";"";16mm;3 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Blanket Statement #2:  It’s All or Nothing;Jodie ,Mack;"";2012;"";"";16mm;5 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
Razzle Dazzle;Jodie ,Mack;"";2014;"";"";16mm;5 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150130;"";"";Pelicula
The Incomplete;Jan ,Soldat;"";2015;"";"";DM;48 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150304;"<p>Este film no transcurre en la Tierra Media y su protagonista no es Andy Serkis enmascarado digitalmente. The Incomplete es el retrato de un hombre de 60 a&ntilde;os que se presenta como un Gollum. Desnudo y encadenado, calvo y relajado, tambi&eacute;n dice llamarse Klaus, confiesa ser gay y quiere ser un esclavo. Soldat seguir&aacute; las tareas cotidianas de su personaje: limpiar, desnudarse, ba&ntilde;arse, encadenarse, recibir un par de nalgadas, practicar una felatio. Hablar&aacute; con &eacute;l sobre su pasado e indagar&aacute; sobre su filosof&iacute;a. Que su padre haya sido un militar jer&aacute;rquico y su madre una educadora en la &eacute;poca de Hitler contextualiza sociol&oacute;gica e hist&oacute;ricamente las pasiones de Klaus. Es un film sobre Alemania, pero no necesariamente se sugiere una violencia profunda como fuerza del masoquismo de Klaus. Hay algo de juego delirante, de puesta en escena del poder y sus estructuras al servicio de un placer no ligado a la sexualidad. Es un film pol&iacute;tico por excelencia y su plano final, &uacute;nico primer plano del personaje, ense&ntilde;a la &eacute;tica de una est&eacute;tica. Roger Koza (Cat&aacute;logo FICUNAM)</p>";"";Pelicula
The Visit;Jan ,Soldat;"";2015;"";"";DM;5 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150304;"";"";Pelicula
The Sixth Season;Jan ,Soldat;"";2015;"";"";DM;37 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150304;"";"";Pelicula
